who_region,variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
SEA,rslt_tbminc,51727.8153204706,10196.4388315142,41531.3764889565,29580.3596065708,5780.60770248278,23607.8065024905,81463.4724431923,16046.9617766116,65806.3289572113,"  10,200 (5,780 to 16,000)","    51,700 (29,600 to 81,500)","  41,500 (23,600 to 65,800)"
SEA,rslt_tbn_deaths,160706.345023528,74166.0391413291,86540.3058821992,101456.823254475,47573.110831459,50927.5672719479,228732.707375417,100536.458735482,132577.704581582,"  74,200 (47,600 to 101,000)","   161,000 (101,000 to 229,000)","  86,500 (50,900 to 133,000)"
WPR,rslt_att,72817.4843489148,32696.1221138721,40121.3622350427,19588.6413443881,9854.79444199053,9415.63815156847,150351.308841866,63333.555412801,89624.7035471352,"  32,700 (9,850 to 63,300)","    72,800 (19,600 to 150,000)","  40,100 (9,420 to 89,600)"
WPR,rslt_att_cost,23.5539242027505,10.4378630522465,13.116061150504,10.3773054711021,4.85693923979035,5.37938502765427,42.1676122747615,18.0561169890361,25.0749165921463,     10 (4.9 to 18),        24 (10 to 42),     13 (5.4 to 25)
WPR,rslt_attm,5759.02769532812,1110.75374158604,4648.27395374208,1434.47476450595,314.373004029057,1083.57012349533,13346.1744807953,2491.51797770382,10924.4267249657,"   1,110 (314 to 2,490)","     5,760 (1,430 to 13,300)","   4,650 (1,080 to 10,900)"
WPR,rslt_attn,67058.4566535867,31585.3683722861,35473.0882813006,18082.5869671273,9499.24896318846,8289.33940805448,139534.045510073,61176.993976757,80732.4370297524,"  31,600 (9,500 to 61,200)","    67,100 (18,100 to 140,000)","  35,500 (8,290 to 80,700)"
WPR,rslt_bcg_doses,0,78.06491809,-78.06491809,0,78.06491809,-78.06491809,0,78.06491809,-78.06491809,     78 (78 to 78),         0 (0 to 0),    -78 (-78 to -78)
WPR,rslt_cost,23.5539242027505,174.469190082436,-150.915265879685,10.3773054711021,67.2478687754284,-347.115628794659,42.1676122747615,371.377480320465,-43.5095849613819,    174 (67 to 371),        24 (10 to 42),   -151 (-347 to -44)
WPR,rslt_health,2413.0009136207,2414.15680276198,-1.15588914127777,2411.88563200845,2413.74146768882,-1.91261711970087,2413.85196072828,2414.4885746164,-0.610233547929078,"   2,410 (2,410 to 2,410)","     2,410 (2,410 to 2,410)",     -1.2 (-1.9 to -0.61)
WPR,rslt_inc,141617.18437844,60392.3849926927,81224.7993857469,69916.1300536451,30650.4959914278,38251.4246652749,239810.546969306,99577.1507683193,144900.894198949,"  60,400 (30,700 to 99,600)","   142,000 (69,900 to 240,000)","  81,200 (38,300 to 145,000)"
WPR,rslt_ly_tb,2258648.30531982,1013672.27031784,1244976.03500198,994673.496326232,466140.052551151,510351.533119061,4065831.55785306,1748689.08024751,2390165.51519872,"1,010,000 (466,000 to 1,750,000)"," 2,260,000 (995,000 to 4,070,000)","1,240,000 (510,000 to 2,390,000)"
WPR,rslt_ly_tbm,70934.323913839,13633.8942819614,57300.4296318776,17729.9701099275,3862.03011122678,13483.7332097777,164139.679716077,30569.1309373316,134323.279806123,"  13,600 (3,860 to 30,600)","    70,900 (17,700 to 164,000)","  57,300 (13,500 to 134,000)"
WPR,rslt_ly_tbn,2187713.98140598,1000038.37603587,1187675.60537011,973984.700046598,460989.08121383,492344.305221975,3935424.44120876,1717767.20139755,2283720.27495782,"1,000,000 (461,000 to 1,720,000)"," 2,190,000 (974,000 to 3,940,000)","1,190,000 (492,000 to 2,280,000)"
WPR,rslt_tb_deaths,36381.304352914,13420.2126183703,22961.0917345436,22371.2839750804,8605.27910939237,13316.5042996205,52736.7271419746,18676.1892500005,35076.1915487251,"  13,400 (8,610 to 18,700)","    36,400 (22,400 to 52,700)","  23,000 (13,300 to 35,100)"
WPR,rslt_tbm_deaths,8206.08408953391,1155.89541655082,7050.18867298309,4280.07217900487,628.131986892438,3638.59420662934,13694.1124251482,1858.7133766429,11929.823249508,"   1,160 (628 to 1,860)","     8,210 (4,280 to 13,700)","   7,050 (3,640 to 11,900)"
WPR,rslt_tbminc,12854.2488414047,2052.34157527318,10801.9072661315,6060.30285575898,957.653403244653,5043.9785995233,22982.7263390129,3772.99926202931,19285.4746899519,"   2,050 (958 to 3,770)","    12,900 (6,060 to 23,000)","  10,800 (5,040 to 19,300)"
WPR,rslt_tbn_deaths,28175.2202633801,12264.3172018195,15910.9030615605,17381.8736085774,7901.58055348613,8930.56916564044,40733.1642747679,16982.0136887211,24776.5595112428,"  12,300 (7,900 to 17,000)","    28,200 (17,400 to 40,700)","  15,900 (8,930 to 24,800)"
